007-1,1,,
009-1,1,,3000
012-1,1,,3500
019-1,1,,3000
020-1,1,,3000
022-1,1,1700,4000
024-1,1,,2800
027-1,1,2200,3700
028-1,1,,3000
028-2,1,,2400
030-1,1,1500,3000
031-1,1,3100,
033-1,1,1300,2800
034-1,1,1200,2400
034-2,1,1450,
035-2,1,3000,5800
036-1,1,1700,3400
037-1,1,1550,
037-2,1,1450,
038-1,1,,3500
038-2,1,1500,
039-1,1,1200,2500
041-1,1,2100,5000
042-1,1,,2700
044-1,1,1600,3700
045-1,1,1300,2600
045-2,1,1700,
046-1,1,,3700
046-2,1,,3700
047-1,1,1800,
048-1,1,,3800
049-1,1,1300,3100
050-1,1,1900,4000
051-1,1,1300,2500
052-1,1,1700,3700
053-1,1,,
053-2,1,1700,3000
054-1,1,1450,3000
055-1,1,,3800
056-1,1,1400,2800
057-1,1,2000,
058-1,1,,2400
058-2,1,1200,2500
059-1,1,1200,2500
060-1,1,1450,3000
061-1,1,1600,3600
061-2,1,2100,3500
062-1,1,1400,3000
062-2,1,,3200
064-1,1,1200,2800
066-1,1,2300,5000
070-1,1,2000,4000
071-1,1,2200,
072-1,1,1000,2200
077-1,1,1600,3500
083-1,1,1450,
084-1,1,1450,
085-1,1,1600,
086-1,1,1300,2800
089-1,1,,
090-2,1,1700,3200
091-1,1,1600,
092-1,1,,2500
093-1,1,,3700
094-1,1,1700,4000
094-2,1,1600,
098-1,1,3100,
099-1,1,2300,4600
100-1,1,1400,3200
101-1,1,,3600
102-1,1,,4000
001-1,0,2200,
001-2,0,2200,
004-1,0,2100,3700
018-1,0,2000,