name,group,center,end
,,,
,,,
,,,
,,,
tone009_neck1_clipout.png,1,,2500
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
tone018_neck1_clipout.png,1,2200,
tone019_neck1_clipout.png,1,1300,2500
tone020_neck1_clipout.png,1,,
,,,
tone022_neck1_clipout.png,1,1700,3500
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
tone027_neck1_clipout.png,1,1600,3500
,,,
tone028_neck1_clipout.png,1,1200,
,,,
tone029_neck1_clipout.png,1,2100,
tone029_neck2_clipout.png,1,2100,
tone030_neck1_clipout.png,1,1400,
tone030_neck2_clipout.png,1,1400,
tone031_neck1_clipout.png,1,3200,
,,,
,,,
tone032_neck2_clipout.png,1,1800,
tone033_neck1_clipout.png,1,1200,2400
tone033_neck2_clipout.png,1,1200,
tone034_neck1_clipout.png,1,1200,
tone034_neck2_clipout.png,1,1200,
tone035_neck1_clipout.png,1,2300,
tone035_neck2_clipout.png,1,2300,
tone036_neck1_clipout.png,1,1600,
tone036_neck2_clipout.png,1,1600,
tone037_neck1_clipout.png,1,1600,
tone037_neck2_clipout.png,1,1400,
,,,
tone038_neck2_clipout.png,1,1400,
tone039_neck1_clipout.png,1,1300,
,,,
,,,
,,,
tone041_neck1_clipout.png,1,2200,
,,,
,,,
,,,
,,,
,,,
tone044_neck1_clipout.png,1,1600,3200
,,,
tone045_neck1_clipout.png,1,1300,2600
tone045_neck2_clipout.png,1,1200,
,,,
,,,
tone047_neck1_clipout.png,1,1300,
,,,
,,,
tone048_neck2_clipout.png,1,1600,
tone049_neck1_clipout.png,1,1300,2600
tone049_neck2_clipout.png,1,1300,2600
tone050_neck1_clipout.png,1,1900,3800
tone050_neck2_clipout.png,1,1900,
tone051_neck1_clipout.png,1,1200,
tone051_neck2_clipout.png,1,1200,
tone052_neck1_clipout.png,1,1700,
tone052_neck2_clipout.png,,,
tone053_neck1_clipout.png,,,
tone053_neck2_clipout.png,1,1700,3000
tone054_neck1_clipout.png,1,1500,3000
tone054_neck2_clipout.png,1,1400,2800
tone055_neck1_clipout.png,1,,3400
tone055_neck2_clipout.png,1,1500,
tone056_neck1_clipout.png,1,1400,
tone056_neck2_clipout.png,1,1400,
tone057_neck1_clipout.png,1,2100,
tone057_neck2_clipout.png,,,
tone058_neck1_clipout.png,,,
tone058_neck2_clipout.png,1,1100,
tone059_neck1_clipout.png,1,1200,2400
tone059_neck2_clipout.png,,,
tone060_neck1_clipout.png,1,1400,2900
tone060_neck2_clipout.png,1,1600,
tone061_neck1_clipout.png,1,1600,3200
tone061_neck2_clipout.png,1,1500,
tone062_neck1_clipout.png,1,1500,
tone062_neck2_clipout.png,1,1400,2600
tone063_neck1_clipout.png,1,1300,
tone063_neck2_clipout.png,,,
tone064_neck1_clipout.png,1,1200,
tone064_neck2_clipout.png,1,1100,
tone065_neck1_clipout.png,,,
tone065_neck2_clipout.png,1,1350,
tone066_neck1_clipout.png,1,2400,
,,,
tone067_neck1_clipout.png,1,1300,2600
,,,
,,,
,,,
,,,
,,,
tone070_neck1_clipout.png,1,1900,2900
tone070_neck2_clipout.png,,,
tone071_neck1_clipout.png,1,2400,
tone071_neck2_clipout.png,,,
tone072_neck1_clipout.png,1,1000,2000
tone072_neck2_clipout.png,,,
tone073_neck1_clipout.png,,,
tone073_neck2_clipout.png,,,
tone074_neck1_clipout.png,,,
tone074_neck2_clipout.png,,,
tone075_neck1_clipout.png,,,
tone075_neck2_clipout.png,,,
tone076_neck1_clipout.png,,,
tone076_neck2_clipout.png,,,
tone077_neck1_clipout.png,1,1600,3200
tone077_neck2_clipout.png,,,
tone078_neck1_clipout.png,,,
tone078_neck2_clipout.png,1,1200,
tone079_neck1_clipout.png,,,
tone079_neck2_clipout.png,1,2100,
tone080_neck1_clipout.png,,,
tone080_neck2_clipout.png,1,1000,2000
tone081_neck1_clipout.png,,,
tone081_neck2_clipout.png,1,2300,
tone082_neck1_clipout.png,1,1400,2699
tone082_neck2_clipout.png,,,
tone083_neck1_clipout.png,1,1400,
tone083_neck2_clipout.png,,,
tone084_neck1_clipout.png,1,1400,
tone084_neck2_clipout.png,1,1500,2800
tone085_neck1_clipout.png,1,1600,
tone085_neck2_clipout.png,1,1500,
tone086_neck1_clipout.png,1,1300,
tone086_neck2_clipout.png,1,1400,
tone087_neck1_clipout.png,1,1500,
tone087_neck2_clipout.png,,,
tone088_neck1_clipout.png,1,1800,
tone088_neck2_clipout.png,,,
tone089_neck1_clipout.png,,,
tone089_neck2_clipout.png,,,
tone090_neck1_clipout.png,,,
tone090_neck2_clipout.png,1,1400,2800
tone091_neck1_clipout.png,1,1600,
tone091_neck2_clipout.png,,,
tone092_neck1_clipout.png,,,
tone092_neck2_clipout.png,,,
tone093_neck1_clipout.png,,,
tone093_neck2_clipout.png,,,
tone094_neck1_clipout.png,1,1800,3700
tone094_neck2_clipout.png,1,1700,
tone095_neck1_clipout.png,,,
tone095_neck2_clipout.png,1,1100,
tone098_neck1_clipout.png,1,2900,
tone098_neck2_clipout.png,1,2900,
tone099_neck1_clipout.png,1,2000,
tone099_neck2_clipout.png,1,2000,
tone100_neck1_clipout.png,1,1400,
tone100_neck2_clipout.png,,,
tone101_neck1_clipout.png,1,1500,3000
tone101_neck2_clipout.png,,,
tone102_neck1_clipout.png,1,1700,3400
tone102_neck2_clipout.png,1,1700,
001_neck1_clipout.png,0,1900,3500
001_neck2_clipout.png,0,1600,
004_neck1_clipout.png,0,1800,3400